Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Routine_2.started,text_2.started,textbox.started,text_3.started,mouse.started,Routine_2.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,bo_t_e,Bottle,new,bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,v_s_,Vase,new,vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K_y_,Keys,old,keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_m_ra,Camera,new,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ou_se,mouse,old,mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_s_,Case,old,case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_o_rd,Board,old,board,prop hit from study list,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p_nc_l,Pencil,new,pencil,prop hit from non-primed words,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_s_io_,Cushion,old,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ho_e,Phone,old,,priming score,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ru_is,Cruise,old,cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T_hi_t,Tshirt,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_li_e,Police,old,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_a_bl_,Marble,old,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l_pt_p,Laptop,old,laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ta_l_,Table,new,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ha_t,Chart,old,chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_as_tr_,Pastry,old,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_oo_,Book,old,"book
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_st_r,Poster,old,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
